[2024-01-28 22:24:03,946] [1    ] [INFO ] [] - ========== Box Local Com Server v4.24.0.1029 ==========
[2024-01-28 22:24:04,012] [1    ] [INFO ] [] - Running as a per-user installation
[2024-01-28 22:24:04,062] [1    ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:24:04,082] [1    ] [WARN ] [] - MetricsCollector::UpdateConfiguration(374): UpdateConfiguration raised: unable to open database file
[2024-01-28 22:24:04,082] [1    ] [ERROR] [] - MetricsCollector::Initialize(238): Raised: unable to open database file
[2024-01-28 22:24:04,082] [1    ] [ERROR] [] - Failed to initialized metrics collector - error: 6
[2024-01-28 22:24:04,082] [1    ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:24:04,082] [1    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:24:04,082] [1    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 22:24:04,102] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2024-01-28 22:24:04,102] [1    ] [INFO ] [] - Starting server...
[2024-01-28 22:24:04,122] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2024-01-28 22:24:04,127] [1    ] [INFO ] [] - Working with debug logging OFF
[2024-01-28 22:24:04,142] [6    ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:24:04,142] [6    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:24:04,142] [6    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 22:24:04,142] [6    ] [INFO ] [] - Recording metric - name: ComServerStart
[2024-01-28 22:24:09,116] [4    ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:24:09,116] [4    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:24:09,116] [4    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 22:34:09,127] [10   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:34:09,127] [10   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:34:09,127] [10   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 22:44:09,144] [11   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:44:09,144] [11   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:44:09,144] [11   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 22:54:09,155] [12   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 22:54:09,155] [12   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 22:54:09,155] [12   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 23:04:09,172] [13   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 23:04:09,176] [13   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 23:04:09,176] [13   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 23:14:09,184] [14   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 23:14:09,184] [14   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 23:14:09,184] [14   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 23:34:07,446] [15   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 23:34:07,446] [15   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 23:34:07,446] [15   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 23:44:07,454] [16   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 23:44:07,454] [16   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 23:44:07,454] [16   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-28 23:54:07,484] [17   ] [INFO ] [] - Initializing the metrics collector
[2024-01-28 23:54:07,484] [17   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-28 23:54:07,484] [17   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
